,Train error rate,,,,
,ED,DTWW,MPDist,"Fast
-PISD","Hyperfast
-PISD"
Adiac,0.4,0.3897,0.34103,0.315,0.315
ArrowHead,0.083333,0.0833,0.083333,0.111,0.111
Beef,0.5,0.5,0.46667,0.5,0.5
BeetleFly,0.45,0.15,0,0.05,0.2
BirdChicken,0.3,0.15,0.05,0.2,0.2
Car,0.3,0.2833,0.1,0.083,0.133
CBF,0.13333,0,0,0,0
ChlorineConcentration,0.38544,0.3662,0.34904,0.33,0.33
CinC_ECG_torso,0.15,0.075,0.15,0.05,0.05
Coffee,0,0,0,0,0
Computers,0.42,0.248,0.36,0.34,0.34
Cricket_X,0.36923,0.2,0.30256,0.169,0.205
Cricket_Y,0.46154,0.241,0.32821,0.213,0.233
Cricket_Z,0.43846,0.2256,0.33077,0.182,0.223
DiatomSizeReduction,0.0625,0.0625,0.0625,0.062,0.062
DistalPhalanxOutlineCorrect,0.31884,0.2117,0.31884,0.279,0.279
DistalPhalanxOutlineAgeGroup,0.32374,0.1975,0.28058,0.273,0.273
DistalPhalanxTW,0.35971,0.2475,0.33813,0.324,0.324
Earthquakes,0.38129,0.2329,0.2518,0.273,0.266
ECG200,0.14,0.14,0.11,0.12,0.11
ECG5000,0.066,0.064,0.056,0.058,0.056
ECGFiveDays,0.17391,0.1739,0.086957,0.087,0
ElectricDevices,0.40713,0.1851,0.40713,0.23,0.241
FaceAll,0.11607,0.0375,0.046429,0.02,0.02
FaceFour,0.375,0.125,0,0.083,0.083
FacesUCR,0.245,0.075,0.09,0.035,0.04
50words,0.36444,0.2289,0.30667,0.207,0.238
FISH,0.24571,0.2,0.17143,0.12,0.143
FordA,0.32803,0.3091,0.26742,0.202,0.223
FordB,0.43827,0.2929,0.34568,0.34,0.352
Gun_Point,0.04,0.04,0,0,0
Ham,0.13761,0.1468,0.11927,0.119,0.128
HandOutlines,0.13784,0.143,0.10811,0.097,0.111
Haptics,0.54839,0.471,0.51613,0.471,0.471
Herring,0.59375,0.4844,0.28125,0.344,0.422
InlineSkate,0.7,0.58,0.57,0.47,0.6
InsectWingbeatSound,0.51818,0.5,0.51364,0.505,0.464
ItalyPowerDemand,0.044776,0.0448,0.044776,0.045,0.045
LargeKitchenAppliances,0.4,0.1733,0.256,0.368,0.368
Lighting2,0.28333,0.1,0.18333,0.167,0.2
Lighting7,0.34286,0.2,0.32857,0.257,0.329
MALLAT,0.018182,0.0182,0.018182,0.018,0.018
Meat,0,0,0,0,0
MedicalImages,0.30971,0.2598,0.30971,0.249,0.252
MiddlePhalanxOutlineCorrect,0.24055,0.2033,0.24055,0.244,0.244
MiddlePhalanxOutlineAgeGroup,0.51299,0.2375,0.46104,0.461,0.461
MiddlePhalanxTW,0.50649,0.4361,0.42208,0.455,0.455
MoteStrain,0.25,0.2,0.05,0.15,0.15
NonInvasiveFatalECG_Thorax1,0.18278,0.1767,0.18278,0.131,0.132
NonInvasiveFatalECG_Thorax2,0.11278,0.1067,0.11278,0.1,0.106
OliveOil,0.1,0.1,0.066667,0.067,0.067
OSULeaf,0.38,0.245,0.275,0.185,0.27
PhalangesOutlinesCorrect,0.21944,0.2106,0.21944,0.207,0.204
Phoneme,0.90654,0.785,0.84579,0.706,0.743
Plane,0.028571,0,0,0,0
ProximalPhalanxOutlineCorrect,0.18833,0.1817,0.16,0.175,0.175
ProximalPhalanxOutlineAgeGroup,0.22,0.22,0.205,0.223,0.223
ProximalPhalanxTW,0.32195,0.2375,0.24878,0.298,0.298
RefrigerationDevices,0.544,0.3333,0.30133,0.213,0.365
ScreenType,0.53067,0.456,0.52533,0.459,0.459
ShapeletSim,0.65,0.45,0.1,0,0.25
ShapesAll,0.26333,0.1883,0.21667,0.128,0.16
SmallKitchenAppliances,0.6,0.2773,0.488,0.389,0.435
SonyAIBORobotSurface,0.1,0.1,0.1,0.05,0.05
SonyAIBORobotSurfaceII,0.14815,0.1481,0.037037,0.111,0.111
StarLightCurves,0.142,0.091,0.106,0.045,0.056
Strawberry,0.075676,0.044,0.051351,0.068,0.068
SwedishLeaf,0.252,0.176,0.22,0.082,0.082
Symbols,0.16,0.04,0.04,0.04,0.08
synthetic_control,0.086667,0,0.07,0.03,0.023
ToeSegmentation1,0.55,0.35,0.075,0.2,0.45
ToeSegmentation2,0.25,0.1111,0,0.056,0.111
Trace,0.16,0,0.03,0.01,0.02
TwoLeadECG,0.26087,0.087,0.043478,0.043,0.043
Two_Patterns,0.064,0,0.064,0.002,0.002
uWaveGestureLibrary_X,0.26674,0.2489,0.26674,0.185,0.198
uWaveGestureLibrary_Y,0.30692,0.2746,0.30692,0.222,0.229
uWaveGestureLibrary_Z,0.32254,0.2946,0.32143,0.232,0.239
UWaveGestureLibraryAll,0.055804,0.0279,0.054688,0.021,0.026
wafer,0.003,0,0.003,0,0
Wine,0,0,0,0,0
WordsSynonyms,0.41199,0.2584,0.35955,0.206,0.228
Worms,0.67532,0.3646,0.45455,0.506,0.545
WormsTwoClass,0.44156,0.2541,0.24675,0.325,0.338
yoga,0.23,0.1667,0.19,0.093,0.123
